id,Accession,ReleaseDate
1,COVID1007_barcode62,4/10/2020
2,COVID1008_barcode64,4/14/2020
3,COVID1008_barcode69,4/14/2020
4,COVID1009_barcode01,4/18/2020
5,COVID1009_barcode17,4/22/2020
6,COVID1009_barcode29,4/24/2020
7,COVID1009_barcode48,4/27/2020
8,COVID1010_barcode04,5/5/2020
9,COVID1010_barcode07,5/5/2020
10,COVID1010_barcode23,5/10/2020
11,COVID1010_barcode38,5/15/2020
12,COVID1010_barcode40,5/15/2020
13,COVID1010_barcode43,5/16/2020
14,COVID1010_barcode52,5/21/2020
15,COVID1010_barcode62,5/30/2020
16,COVID1010_barcode67,6/1/2020
17,COVID1010_barcode70,6/1/2020
18,COVID1010_barcode71,6/1/2020
19,COVID1010_barcode72,6/1/2020
