id,Accession,ReleaseDate
1,COVID1007_barcode58,4/8/2020
2,COVID1008_barcode09,4/16/2020
3,COVID1008_barcode14,3/19/2020
4,COVID1008_barcode50,4/11/2020
5,COVID1008_barcode59,4/14/2020
6,COVID1008_barcode63,4/14/2020
7,COVID1008_barcode65,4/14/2020
8,COVID1008_barcode75,4/14/2020
9,COVID1009_barcode06,4/19/2020
10,COVID1009_barcode08,4/20/2020
11,COVID1009_barcode14,4/21/2020
12,COVID1009_barcode18,4/22/2020
13,COVID1009_barcode21,4/22/2020
14,COVID1009_barcode24,4/23/2020
15,COVID1009_barcode27,4/23/2020
16,COVID1009_barcode36,4/24/2020
17,COVID1009_barcode45,4/26/2020
18,COVID1009_barcode46,4/26/2020
19,COVID1009_barcode47,4/26/2020
20,COVID1009_barcode51,4/28/2020
21,COVID1009_barcode53,4/28/2020
22,COVID1009_barcode54,4/28/2020
23,COVID1009_barcode55,4/29/2020
24,COVID1009_barcode62,5/1/2020
25,COVID1009_barcode67,5/2/2020
26,COVID1010_barcode08,5/5/2020
27,COVID1010_barcode09,5/5/2020
28,COVID1010_barcode10,5/6/2020
29,COVID1010_barcode44,5/16/2020
30,COVID1010_barcode47,5/18/2020
31,COVID1010_barcode53,5/21/2020
32,COVID1010_barcode56,5/22/2020
33,COVID1011_barcode14,6/4/2020
34,COVID1011_barcode26,6/11/2020
35,COVID1011_barcode40,6/19/2020
