id,Accession,ReleaseDate
1,COVID1007_barcode01,2/16/2020
2,COVID1007_barcode02,2/20/2020
3,COVID1007_barcode03,3/16/2020
4,COVID1007_barcode04,3/16/2020
5,COVID1007_barcode05,3/17/2020
6,COVID1007_barcode07,3/20/2020
7,COVID1007_barcode08,3/20/2020
8,COVID1007_barcode09,3/21/2020
9,COVID1007_barcode12,3/6/2020
10,COVID1007_barcode13,3/16/2020
11,COVID1007_barcode14,3/17/2020
12,COVID1007_barcode15,3/20/2020
13,COVID1007_barcode16,3/21/2020
14,COVID1007_barcode17,3/22/2020
15,COVID1007_barcode18,3/23/2020
16,COVID1007_barcode20,3/24/2020
17,COVID1007_barcode21,3/25/2020
18,COVID1007_barcode23,3/25/2020
19,COVID1007_barcode25,3/26/2020
20,COVID1007_barcode27,3/28/2020
21,COVID1007_barcode28,3/29/2020
22,COVID1007_barcode30,3/29/2020
23,COVID1007_barcode36,4/2/2020
24,COVID1007_barcode38,4/2/2020
25,COVID1007_barcode42,4/4/2020
26,COVID1007_barcode47,4/6/2020
27,COVID1008_barcode17,3/20/2020
28,COVID1008_barcode18,3/21/2020
29,COVID1008_barcode19,3/23/2020
30,COVID1008_barcode20,4/8/2020
31,COVID1008_barcode21,2/28/2020
32,COVID1008_barcode22,2/29/2020
33,COVID1008_barcode24,3/13/2020
34,COVID1008_barcode25,3/14/2020
35,COVID1008_barcode26,3/16/2020
36,COVID1008_barcode27,3/17/2020
37,COVID1008_barcode28,3/17/2020
38,COVID1008_barcode29,3/17/2020
39,COVID1008_barcode30,3/18/2020
40,COVID1008_barcode31,3/25/2020
41,COVID1008_barcode32,3/25/2020
42,COVID1008_barcode33,3/27/2020
43,COVID1008_barcode34,3/29/2020
44,COVID1008_barcode35,4/2/2020
45,COVID1008_barcode36,4/2/2020
46,COVID1008_barcode37,4/3/2020
47,COVID1008_barcode42,4/7/2020
48,COVID1008_barcode48,4/11/2020
49,COVID1008_barcode55,4/12/2020
50,COVID1008_barcode56,4/12/2020
51,COVID1008_barcode77,4/12/2020
52,COVID1008_barcode78,4/12/2020
53,COVID1011_barcode03,7/8/2020
54,COVID1011_barcode04,7/13/2020
55,COVID1011_barcode22,6/9/2020
